Country,State,City,Region,Number of Procedures,Time,Cost,,,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Calgary,Prairie Provinces,4,2,0.0077,,,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Edmonton,Prairie Provinces,5,5,0.0072,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Vancouver,West Coast,6,35,0.0072,,,,,,,,,,,,,,,,,,,,,
Canada,Manitoba,Winnipeg,Prairie Provinces,2,4,0.0103,,,,,,,,,,,,,,,,,,,,,
Canada,New Brunswick,Moncton,Atlantic Region,2,10,0.0126,,,,,,,,,,,,,,,,,,,,,
Canada,Newfoundland and Labrador,St. Johns,Atlantic Region,2,30,0.0067,,,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,Halifax,Atlantic Region,3,3,0.0058,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Toronto,Central Canada,3,15,0.0073,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Ottawa,Central Canada,3,15,0.0081,,,,,,,,,,,,,,,,,,,,,
Canada,Quebec,Quebec City,Central Canada,4,43,0.0023,,,,,,,,,,,,,,,,,,,,,
Canada,Saskatchewan,Saskatoon,Prairie Provinces,3,16,0.0068,,,,,,,,,,,,,,,,,,,,,
United States,Alabama,Birmingham,East South Central,5,9,0.0275,,,,,,,,,,,,,,,,,,,,,
United States,Alaska,Anchorage,Pacific,3,15,0.0019,,,,,,,,,,,,,,,,,,,,,
United States,Arizona,Phoenix,Mountain,5,3,0.0298,,,,,,,,,,,,,,,,,,,,,
United States,Arkansas,Little Rock,West South Central,10,63,0.0046,,,,,,,,,,,,,,,,,,,,,
United States,California,Los Angeles,Pacific,8,14,0.0037,,,,,,,,,,,,,,,,,,,,,
United States,California,San Diego,Pacific,7,17,0.0022,,,,,,,,,,,,,,,,,,,,,
United States,California,San Francisco,Pacific,10,48,0.0017,,,,,,,,,,,,,,,,,,,,,
United States,California,San Jose,Pacific,10,19,0.0022,,,,,,,,,,,,,,,,,,,,,
United States,Colorado,Denver,Pacific,6,1,0.0032,,,,,,,,,,,,,,,,,,,,,
United States,Connecticut,Bridgeport,New England,9,1,0.0097,,,,,,,,,,,,,,,,,,,,,
United States,Delaware,Wilmington,South Atlantic,8,3,0.0084,,,,,,,,,,,,,,,,,,,,,
United States,Florida,Jacksonville,South Atlantic,7,2,0.0153,,,,,,,,,,,,,,,,,,,,,
United States,Florida,Miami,South Atlantic,7,2,0.0168,,,,,,,,,,,,,,,,,,,,,
United States,Florida,Orlando,South Atlantic,7,2,0.0149,,,,,,,,,,,,,,,,,,,,,
United States,Florida,Tampa,South Atlantic,7,2,0.0128,,,,,,,,,,,,,,,,,,,,,
United States,Georgia,Atlanta,South Atlantic,7,2,0.0044,,,,,,,,,,,,,,,,,,,,,
United States,Hawaii,Honolulu,Pacific,4,1,0.0015,,,,,,,,,,,,,,,,,,,,,
United States,Idaho,Boise,Mountain,6,22,0.0047,,,,,,,,,,,,,,,,,,,,,
United States,Illinois,Chicago,East North Central,8,7,0.0256,,,,,,,,,,,,,,,,,,,,,
United States,Indiana,Indianapolis,East North Central,6,1,0.0053,,,,,,,,,,,,,,,,,,,,,
United States,Iowa,Des Moines,West North Central,6,1,0.0030,,,,,,,,,,,,,,,,,,,,,
United States,Kansas,Wichita,West North Central,9,1,0.0079,,,,,,,,,,,,,,,,,,,,,
United States,Kentucky,Louisville,East South Central,5,1,0.0024,,,,,,,,,,,,,,,,,,,,,
United States,Louisiana,New Orleans,West South Central,5,1,0.0053,,,,,,,,,,,,,,,,,,,,,
United States,Maine,Portland,New England,5,21,0.0087,,,,,,,,,,,,,,,,,,,,,
United States,Maryland,Baltimore,South Atlantic,5,28,0.0149,,,,,,,,,,,,,,,,,,,,,
United States,Massachusetts,Boston,New England,5,7,0.0265,,,,,,,,,,,,,,,,,,,,,
United States,Michigan,Detroit,East North Central,5,1,0.0036,,,,,,,,,,,,,,,,,,,,,
United States,Michigan,Grand Rapids,East North Central,5,1,0.0043,,,,,,,,,,,,,,,,,,,,,
United States,Minnesota,Minneapolis,West North Central,7,3,0.0044,,,,,,,,,,,,,,,,,,,,,
United States,Mississippi,Jackson,East South Central,4,1,0.0014,,,,,,,,,,,,,,,,,,,,,
United States,Missouri,St. Louis,West North Central,6,8,0.0012,,,,,,,,,,,,,,,,,,,,,
United States,Montana,Billings,Mountain,6,2,0.0060,,,,,,,,,,,,,,,,,,,,,
United States,Nebraska,Omaha,West North Central,7,24,0.0117,,,,,,,,,,,,,,,,,,,,,
United States,Nevada,Las Vegas,Mountain,7,3,0.0020,,,,,,,,,,,,,,,,,,,,,
United States,New Hampshire,Manchester,New England,5,3,0.0034,,,,,,,,,,,,,,,,,,,,,
United States,New Jersey,Newark,Mid-Atlantic,6,3,0.0191,,,,,,,,,,,,,,,,,,,,,
United States,New Mexico,Albuquerque,Mountain,5,2,0.0025,,,,,,,,,,,,,,,,,,,,,
United States,New York,Buffalo,Mid-Atlantic,6,5,0.0121,,,,,,,,,,,,,,,,,,,,,
