State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (in USD) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Without MED,Federal Corporate Income Tax Rate,State Corporate Income Marginal Tax Rate,City Corporate Income Marginal Tax Rate,Corporate Income Effective Tax Rate,Federal Personal Income Tax Rate,State Personal Income Marginal Tax Rate,City Personal Income Marginal Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Base,Gross Receipts Tax Base Score,Gross Receipts Tax Rate,Gross Receipts Tax Rate Score,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (in USD) to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Land Title Identification,Immovable Property Identification,Reliability of Information Index,Information on Land-Ownership is Made Publicly-Available,Documents for Completing the Registration of Property Transactions Publicly-Available,Fee Scheduleis Made Publicly-Available,Specific and Independent Mechanism for Filing Complaints,Specific Time Frame for Immovable Property Registration,Deed for Property Title Transfer Can Be Processed Online,Transparency of Information Index,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Local Planning Commission (Rezoning),Local Zoning Board (Rezoning),Local Council / Local Managers (Rezoning),County Board of Commissioners (Rezoning),County Zoning Board (Rezoning),Environmental Review Board (Rezoning),Number of Approvals Needed (Rezoning),Local Planning Commission (Zoning),Local Zoning Board (Zoning),Local Council / Local Managers (Zoning),County Board of Commissioners (Zoning),County Zoning Board (Zoning),Environmental Review Board (Zoning),Number of Approvals Needed (Zoning)
Alabama,Birmingham,East South Central,52419,22993,209880,5,4,262,0.011394772,7.25,7.25,7.25,0.655851781,3,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0.11,23,1,188.284,n/a,137.167,162.7255,1.66,n/a,1.61,1.635,0.21,0.065,0,0.275,0.22,0.05,0.01,0.28,0.065,0.065,0,0,0.05,0.02,0.01,0.01,0,0,0,10,0.0033,3,25,0,1,1,2,1,1,1,0,0,0,3,5,300,Yes,Yes,Yes,Yes,Yes,No,5,Yes,Yes,Yes,Yes,Yes,No,5
Alaska,Anchorage,Pacific,663300,38977,291538,5,1,300,0.007696847,9.89,9.89,9.89,0.52777792,3,0,0,0,0,0,0,12,12,12,6.5,0,6.5,0,0,0,0.2,8,1,233.273,100,25.52,119.5976667,3.017,2.8,0.339,2.052,0.21,0.07,0,0.28,0.22,0,0,0.22,0.094,0,0,0,0,0,0,0,0,0,0,10,0.0144,4,65,0.00166765,1,1,2,1,1,1,0,0,0,3,5,350,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
Arizona,Mesa,Mountain,113998,27851,508958,6,12,135,0.004847223,12,12,12,0.896197623,3,0,0,0,0,0,0,12,0,12,5,0,5,0,0,0,0.1,12,1,146.609,44.657,21.69,62.95025,0.635,0.486,0.102,0.45125,0.21,0.049,0,0.259,0.22,0.0424,0,0.2624,0.049,0.049,0,0,0.0454,0.0259,0,0,0,0,0,10,0.0178,5,210,0.007540124,1,1,2,1,1,1,1,0,0,4,6,162,No,Yes,Yes,No,No,No,2,No,Yes,Yes,No,No,No,2
Arizona,Phoenix,Mountain,113998,27870,1660272,6,12,135,0.004843918,12,12,12,0.895586652,3,0,0,0,0,0,0,12,12,12,5,5,5,0,0,0,0.1,12,1,146.609,44.657,21.69,62.95025,0.635,0.486,0.102,0.45125,0.21,0.049,0,0.259,0.22,0.0417,0,0.2617,0.049,0.049,0,0,0.045,0.0259,0,0,0,0,0,10,0.023,5,210,0.007534984,1,1,2,1,1,1,1,0,0,4,6,300,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
Arizona,Tucson,Mountain,113998,22645,545975,6,12,135,0.005961581,12,12,12,1.102230073,3,0,0,0,0,6,6,12,0,12,5,5,5,0,0,0,0.1,12,1,146.609,46.55,21.69,63.4235,0.635,0.486,0.102,0.45125,0.21,0.049,0.026,0.285,0.22,0.0336,0,0.2536,0.049,0.049,0.026,0.026,0.0454,0.0259,0,0,0,0,0,10,0.0239,5,210,0.00927357,1,1,2,1,1,1,1,0,0,4,6,300,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
Arkansas,Little Rock,West South Central,53179,34546,197881,5,2,50,0.001447346,10,10,10,0.602095756,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,18,1,114.767,152.697,49.067,105.5103333,1.087,1.201,0.535,0.941,0.21,0.065,0,0.275,0.22,0.069,0,0.289,0.065,0.01,0,0,0.069,0.009,0,0,0,0,0,10,0.065,4,60,0.001736815,1,1,2,1,1,1,0,0,0,3,5,300,No,Yes,Yes,No,No,No,2,No,Yes,Yes,No,No,No,2
California,Los Angeles,Pacific,163696,31563,3990456,6,5,125,0.003960333,12,13.25,13.25,0.873174286,3,0,0,0,6,6,6,12,12,12,8.67,8.67,8.67,0,0,0,0.15,31,1,6356.07,124.432,87.173,1656.64375,10.94,1.236,0.582,3.3345,0.21,0.0884,0.0001,0.2985,0.22,0.093,0,0.313,0.0884,0.0884,0.0005,0.0001,0.133,0.01,0,0,0,0,0,10,0.0122,5,147,0.004657352,1,1,2,1,1,1,1,1,0,5,7,250,No,No,No,Yes,Yes,Yes,3,No,No,No,Yes,Yes,Yes,3
California,San Diego,Pacific,163696,37112,1425976,6,5,125,0.003368183,12,13,13,0.728605303,3,0,0,0,6,6,6,12,12,12,8.67,8.67,8.67,0,0,0,0.15,31,1,6356.07,124.432,87.173,1656.64375,10.94,1.236,0.582,3.3345,0.21,0.0884,0,0.2984,0.22,0.093,0,0.313,0.0884,0.0884,0,0,0.133,0.01,0,0,0,0,0,10,0.0118,6,61,0.001643673,1,1,2,1,1,1,1,1,0,5,7,400,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
California,San Francisco,Pacific,163696,59510,883305,6,5,125,0.002100487,12,15.59,15.59,0.544903378,3,0,0,0,6,6,6,12,12,12,8.67,8.67,8.67,0,0,0,0.15,31,1,6356.07,124.432,87.173,1656.64375,10.94,1.236,0.582,3.3345,0.21,0.0884,0,0.2984,0.24,0.093,0,0.333,0.0884,0.0884,0,0,0.133,0.01,0,0,0,0,0.0008,9.544634862,0.0077,5,61,0.001025038,1,1,2,1,1,1,1,1,1,6,8,0,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
California,San Jose,Pacific,163696,40275,1030119,6,5,125,0.003103662,12,15.25,15.25,0.787585351,3,0,0,0,6,6,6,12,12,12,8.67,8.67,8.67,0,0,0,0.15,31,1,6356.07,124.432,87.173,1656.64375,10.94,1.236,0.582,3.3345,0.21,0.0884,0,0.2984,0.22,0.093,0,0.313,0.0884,0.0884,0,0,0.133,0.01,0,0,0,0,0,10,0.0129,6,72,0.001787709,1,1,2,1,1,1,1,1,0,5,7,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
