Country,State,City,FIPS Code,Region,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Without MED,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Rate,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning)
United States,Alabama,Birmingham,13820,East South Central,16169,52419,22993,209880,5,4,0.01,0.66,3,0,0,0,0,12,0,0,0.11,23,162.73,1.64,0.28,0.28,0.07,0.07,0,0,0.05,0.02,0.01,0.01,0,0,3,0,5,300,5,5
United States,Alaska,Anchorage,11260,Pacific,7539,663300,38977,291538,5,1,0.01,0.53,3,0,0,0,0,12,6.5,0,0.2,8,119.6,2.05,0.28,0.22,0.09,0,0,0,0,0,0,0,0,0.01,4,0,5,350,3,3
United States,Arizona,Mesa,38060,Mountain,61975,113998,27851,508958,6,12,0,0.9,3,0,0,0,0,12,5,0,0.1,12,62.95,0.45,0.26,0.26,0.05,0.05,0,0,0.05,0.03,0,0,0,0.02,5,0.01,6,162,2,2
United States,Arizona,Phoenix,38060,Mountain,61975,113998,27870,1660272,6,12,0,0.9,3,0,0,0,0,12,5,0,0.1,12,62.95,0.45,0.26,0.26,0.05,0.05,0,0,0.05,0.03,0,0,0,0.02,5,0.01,6,300,2,2
United States,Arizona,Tucson,46060,Mountain,12851,113998,22645,545975,6,12,0.01,1.1,3,0,0,0,6,12,5,0,0.1,12,63.42,0.45,0.29,0.25,0.05,0.05,0.03,0.03,0.05,0.03,0,0,0,0.02,5,0.01,6,300,2,2
United States,Arkansas,Little Rock,30780,West South Central,11703,53179,34546,197881,5,2,0,0.6,3,0,0,0,0,0,0,0,0.08,18,105.51,0.94,0.28,0.29,0.07,0.01,0,0,0.07,0.01,0,0,0,0.07,4,0,5,300,2,2
United States,California,Los Angeles,31080,Pacific,275656,163696,31563,3990456,6,5,0,0.87,3,0,0,0,6,12,8.67,0,0.15,31,1656.64,3.33,0.3,0.31,0.09,0.09,0,0,0.13,0.01,0,0,0,0.01,5,0,7,250,3,3
United States,California,San Diego,41740,Pacific,59883,163696,37112,1425976,6,5,0,0.73,3,0,0,0,6,12,8.67,0,0.15,31,1656.64,3.33,0.3,0.31,0.09,0.09,0,0,0.13,0.01,0,0,0,0.01,6,0,7,400,3,3
United States,California,San Francisco,41860,Pacific,90823,163696,59510,883305,6,5,0,0.54,3,0,0,0,6,12,8.67,0,0.15,31,1656.64,3.33,0.3,0.33,0.09,0.09,0,0,0.13,0.01,0,0,0,0.01,5,0,8,0,3,3
United States,California,San Jose,41940,Pacific,34970,163696,40275,1030119,6,5,0,0.79,3,0,0,0,6,12,8.67,0,0.15,31,1656.64,3.33,0.3,0.31,0.09,0.09,0,0,0.13,0.01,0,0,0,0.01,6,0,7,200,3,3
United States,Colorado,Aurora,19740,Pacific,57767,104185,28854,374114,5,1,0,0.87,3,0,0,0,0,12,0,0,0.09,23,68.17,0.81,0.26,0.27,0.05,0.05,0,0,0.05,0.05,0,0,0,0.01,4,0,5,200,3,3
United States,Colorado,Colorado Springs,17820,Pacific,12342,104185,32539,472688,5,1,0,0.77,3,0,0,0,0,0,0,0,0.09,23,68.17,0.81,0.26,0.4,0.05,0.05,0,0,0.05,0.05,0.25,0.13,0,0.02,4,0,6,600,2,2
United States,Colorado,Denver,19740,Pacific,57767,104185,38991,716492,5,1,0,0.69,3,0,0,0,0,12,0,0,0.09,23,68.17,0.81,0.26,0.27,0.05,0.05,0,0,0.05,0.05,0,0,0,0.02,4,0,8,200,3,3
United States,Connecticut,Bridgeport,14860,New England,19106,5543,22806,144900,5,4,0.01,1,3,0,0,0,0,0,5,0,0.16,6,88.46,0.83,0.29,0.27,0.08,0.08,0,0,0.07,0.03,0,0,0,0.04,5,0,6,286,3,3
United States,Delaware,Wilmington,37980,South Atlantic,99793,2489,30601,70635,5,5,0.01,0.63,3,0,0,0,0,0,15,0,0.09,4,64.64,1.09,0.3,0.3,0.09,0.09,0,0,0.07,0.02,0.02,0.02,0.01,0.01,4,0.01,6,200,3,3
United States,District of Columbia,Washington D.C.,47900,South Atlantic,99621,68.34,50833,713244,5,4,0.01,0.57,3,0,0,0,6,16,6.05,16,0.12,1,52.86,0.54,0.29,0.41,0,0,0.08,0.08,0.09,0.04,0.09,0.04,0,0.01,4,0,5,752,1,1
United States,Florida,Jacksonville,27260,South Atlantic,25232,65755,27486,903889,5,5,0.01,0.64,3,0,0,0,0,12,0,0,0.1,37,116.9,1.5,0.27,0.22,0.06,0.06,0,0,0,0,0,0,0,0.02,5,0,7,333,3,3
United States,Florida,Miami,33100,South Atlantic,152501,65755,25067,470914,5,5,0.01,0.7,3,0,0,0,0,12,0,0,0.1,37,110.35,1.5,0.27,0.22,0.06,0.06,0,0,0,0,0,0,0,0.02,5,0,7,420,3,3
United States,Florida,Orlando,36740,South Atlantic,44328,65755,28117,285713,5,5,0.01,0.63,3,0,0,0,0,12,0,0,0.1,37,116.9,1.5,0.27,0.22,0.06,0.06,0,0,0,0,0,0,0,0.01,5,0,6,250,2,2
United States,Florida,Tampa,45300,South Atlantic,54659,65755,32869,392890,5,5,0.01,0.54,3,0,0,0,0,0,0,0,0.1,37,116.9,1.5,0.27,0.22,0.06,0.06,0,0,0,0,0,0,0,0.01,5,0,6,250,4,4
