Data Year,Utility Number,Utility Name,State,Ownership,Short Form,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically
2019,84,A & N Electric Coop,MD,Cooperative,,,,,,,,,,,,,
2019,84,A & N Electric Coop,VA,Cooperative,,,,,,,,,,,,,
2019,97,Adams Electric Coop,IL,Cooperative,,169.74,1.29,131.5814,169.74,1.29,131.5814,110.9,0.409,271.14914,8665,12.5,Y
2019,108,Adams-Columbia Electric Coop,WI,Cooperative,,139.9,0.95,147.26316,139.9,0.95,147.26316,129.3,0.871,148.45006,37405,12,Y
2019,155,Agralite Electric Coop,MN,Cooperative,,130.931,1.202,108.92762,128.759,1.181,109.0254,113.066,0.913,123.84009,5367,12.4,Y
2019,162,Aiken Electric Coop Inc,SC,Cooperative,,228.98,,,97.72,,,226.86,,,47255,25,Y
2019,195,Alabama Power Co,AL,Investor Owned,,,,,,,,,,,,,
2019,207,City of Alameda,CA,Municipal,,94.6,1.07,88.411215,,,,,,,35442,12,Y
2019,213,Alaska Electric Light&Power Co,AK,Investor Owned,,142,3.08,46.103896,79,2.08,37.980769,41,0.74,55.405405,16768,12.5,N
2019,219,Alaska Power and Telephone Co,AK,Investor Owned,,,,,,,,,,,,,
2019,232,City of Albemarle - (NC),NC,Municipal,,166.77,1.32,126.34091,44.05,0.53,83.113208,,,,11821,14.4,N
2019,240,Albemarle Electric Member Corp,NC,Cooperative,,,,,,,,,,,,,
2019,241,Albertville Municipal Utilities Board,AL,Municipal,,51.71,1.371,37.716995,21.624,0.418,51.732057,21.624,0.418,51.732057,10054,12.5,N
2019,276,Alcorn County Elec Power Assn,MS,Cooperative,,19.922,1.667,11.95081,,,,,,,18489,13.1,N
2019,295,City of Alexandria - (MN),MN,Municipal,,28.62,0.374,76.524064,,,,,,,10144,13.2,N
2019,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,,,,,,,,,,,,,
2019,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,,,,,,,,,,,,,
2019,305,Alger-Delta Coop Electric Assn,MI,Cooperative,,582.796,0.696,837.35057,55.852,0.117,477.36752,579.996,0.672,863.08929,10119,34.5,Y
2019,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,,141.6,0.965,146.73575,141.6,0.965,146.73575,141.6,0.965,146.73575,8940,12.5,Y
2019,392,Alpena Power Co,MI,Investor Owned,,,,,,,,,,,,,
2019,407,Altamaha Electric Member Corp,GA,Cooperative,,118.6,0.62,191.29032,95.1,0.47,202.34043,112,0.36,311.11111,20710,24.9,Y
2019,554,City of Ames - (IA),IA,Municipal,,156,0.99,157.57576,15.79,0.19,83.105263,152.353,0.96,158.70104,26948,13.8,N
2019,562,Amicalola Electric Member Corp,GA,Cooperative,,687.13,3.09,222.37217,449.79,2.38,188.98739,685.11,3.07,223.16287,49344,25,N
2019,590,City of Anaheim - (CA),CA,Municipal,,42.12,0.57,73.894737,42.12,0.57,73.894737,42.12,0.57,73.894737,120978,12,Y
2019,599,Anchorage Municipal Light and Power,AK,Municipal,,70.614,0.379,186.31662,18.38,0.132,139.24242,70.614,0.379,186.31662,31079,35,Y
2019,636,City of Anderson - (IN),IN,Municipal,,136.976,0.984,139.20325,108.932,0.873,124.77892,136.976,0.984,139.20325,35742,13.2,Y
2019,689,Connexus Energy,MN,Cooperative,,62.205,0.557,111.67864,29.264,0.349,83.851003,52.955,0.447,118.46756,134507.2,12.5,Y
2019,694,Anza Electric Coop Inc,CA,Cooperative,,414.156,4.593,90.17113,387.642,4.173,92.892883,69.156,0.504,137.21429,6192,7.2,N
2019,727,Appalachian Electric Coop,TN,Cooperative,,362.178,3.39,106.83717,280.133,3.23,86.728483,362.178,3.39,106.83717,47252,13.8,Y
2019,733,Appalachian Power Co,VA,Investor Owned,,561.6,1.999,280.94047,382.9,1.705,224.57478,525.2,1.855,283.12668,533574,35,Y
2019,733,Appalachian Power Co,WV,Investor Owned,,900.4,3.317,271.45011,650.8,2.883,225.73708,837.1,3.024,276.81878,420064,35,Y
2019,803,Arizona Public Service Co,AZ,Investor Owned,,118.56,0.96,123.5,86.8,0.843,102.9656,96.84,0.86,112.60465,1261999,69,N
2019,814,Entergy Arkansas LLC,AR,Investor Owned,,529.6,2.075,255.22892,308.8,1.72,179.53488,515.3,1.932,266.71843,725576,34.5,Y
2019,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,,437.3,2.21,197.8733,181.53,1.5,121.02,385.48,1.665,231.51952,55643,14.4,Y
2019,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,,120.65,0.75,160.86667,56.7,0.49,115.71429,0.874,0.144,6.0694444,3612,7.2,Y
2019,887,"Arrowhead Electric Coop, Inc",MN,Cooperative,,,,,,,,,,,,,
2019,902,Town of Ashburnham - (MA),MA,Municipal,Y,,,,,,,,,,,,
2019,925,"Ashley Chicot Elec Coop, Inc",AR,Cooperative,Y,460.8,2.25,204.8,198.6,,,369,,,5127,14.4,N
2019,963,Atlantic City Electric Co,NJ,Investor Owned,,83,0.93,89.247312,76,0.89,85.393258,83,0.93,89.247312,556532,68,Y
2019,1009,City of Austin - (MN),MN,Municipal,,31.885,0.231,138.0303,31.885,0.231,138.0303,,,,11746,13.8,N
2019,1015,Austin Energy,TX,Municipal,,86.42,1,86.42,68.68,0.87,78.942529,83.4,0.95,87.789474,502963,35,Y
2019,1050,City of Azusa,CA,Municipal,,42.887,0.403,106.41935,,,,,,,16058,12.5,N
2019,1062,BARC Electric Coop Inc,VA,Cooperative,,949.602,4.007,236.98577,375.25,2.66,141.07143,935.053,3.928,238.04812,12800,46,Y
2019,1149,Baldwin County El Member Corp,AL,Cooperative,,75.868,1.048,72.39313,75.868,1.048,72.39313,75.868,1.048,72.39313,77765,12.5,Y
2019,1167,Baltimore Gas & Electric Co,MD,Investor Owned,,128.947,1.062,121.41902,81.781,0.84,97.358333,128.913,1.058,121.84594,1294802,34.5,Y
2019,1170,Bamberg Board of Public Works,SC,Municipal,Y,1.394,0.026,53.615385,1.394,0.026,53.615385,,,,1758,4.8,N
2019,1175,"Bandera Electric Coop, Inc",TX,Cooperative,,187.088,1.226,152.60033,45.636,0.499,91.45491,127.612,0.971,131.42327,36872,24,Y
2019,1179,Versant Power,ME,Investor Owned,,1138,2.795,407.15564,302,1.956,154.39673,1031,2.076,496.62813,173791,35,Y
2019,1233,City of Barnesville - (MN),MN,Municipal,,,,,,,,,,,,,
2019,1251,Barron Electric Coop,WI,Cooperative,,1352.03,2.251,600.63527,144.72,1.07,135.25234,1352.03,2.251,600.63527,18863,12.5,Y
2019,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,,239.7,1.26,190.2381,97.6,0.55,177.45455,178.3,1.15,155.04348,12169,24.9,Y
2019,1283,Bartholomew County Rural E M C,IN,Cooperative,,236.46,1.58,149.65823,75.59,0.74,102.14865,236.46,1.58,149.65823,11680,12.5,Y
2019,1299,"Barton Village, Inc",VT,Municipal,Y,,,,,,,,,,,,
2019,1300,City of Bartow - (FL),FL,Municipal,,,,,,,,,,,,,
2019,1301,"Barton County Elec Coop, Inc",MO,Cooperative,,,,,,,,,,,,,
2019,1366,City of Bay City - (MI),MI,Municipal,,99.986,0.822,121.63747,99.986,0.822,121.63747,99.986,0.822,121.63747,20243,8.3,Y
2019,1456,Town of Bedford - (VA),VA,Municipal,,372.26,1.41,264.01418,121.24,,,121.24,,,6694,69,N
2019,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,,,,,,,,,,,,,
2019,1523,Town of Belmont - (MA),MA,Municipal,,127.16,0.73,174.19178,127.16,0.73,174.19178,127.16,0.73,174.19178,11739,13.8,N
2019,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,,,,,77.694,0.909,85.471947,,,,20811,12.5,Y
2019,1571,Town of Benson - (NC),NC,Municipal,Y,,,,,,,,,,,,
2019,1579,PUD No 1 of Benton County,WA,Political Subdivision,,44,0.31,141.93548,27.5,0.21,130.95238,,,,54817,34.5,Y
2019,1591,"Big Country Electric Coop, Inc",TX,Cooperative,,,,,,,,,,,,,
2019,1613,Berkeley Electric Coop Inc,SC,Cooperative,,1144.8,2.34,489.23077,160.4,1.48,108.37838,1133.1,2.18,519.77064,103788,24.9,Y
2019,1615,Town of Berlin - (MD),MD,Municipal,Y,128.04,2.09,61.263158,128.04,2.09,61.263158,,,,2417,25,N
2019,1625,Benton Rural Electric Assn,WA,Cooperative,,,,,,,,,,,,,
2019,1675,Big Horn Rural Electric Co,WY,Cooperative,,207.96,1.29,161.2093,,,,,,,3775,7.2,N
