Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days)
Canada,Alberta,Calgary,Prairie Provinces,255541,58439,1336000,11.25,11.25,11.25,0.400417529,3,13.33333333,21.66666667,21.66666667,0,0,0,16,16,16,0,0,0,5,5,5
Canada,Alberta,Edmonton,Prairie Provinces,255541,60131.25,4371000,11.25,11.25,11.25,0.389148737,3,13.33333333,25.66666667,25.66666667,0,0,0,16,15,16,0,0,0,5,5,5
Canada,British Columbia,Vancouver,West Coast,364764,44299.5,610000,10.3875,10.3875,10.3875,0.487725595,3,13.33333333,25,25,0,0,0,17,17,17,0,0,0,0,0,0
Canada,Manitoba,Winnipeg,Prairie Provinces,250116,40281,705244,8.7375,8.7375,8.7375,0.451180457,1,13.33333333,26.66666667,26.66666667,0,0,0,17,17,17,5,5,5,85,0,85
Canada,New Brunswick,Moncton,Atlantic Region,28150,35962.5,85198,8.625,8.625,8.625,0.498852972,6,11.66666667,16.66666667,16.66666667,0,0,0,17,17,17,0,0,0,5,5,5
Canada,Newfoundland and Labrador,St. Johns,Atlantic Region,156453,47432.25,212501,8.55,8.55,8.55,0.374934775,3,10,13.33333333,13.33333333,0,0,0,17,17,17,0,0,0,7,7,7
Canada,Nova Scotia,Halifax,Atlantic Region,21345,34669.5,434140,8.6625,8.6625,8.6625,0.519707524,3,11.66666667,15,15,0,0,0,16,16,16,0,0,0,3,3,3
Canada,Ontario,Ottawa,Central Canada,415600,44909.25,940179,10.5,10.5,10.5,0.486314067,3,10,25,25,15,17,17,61,61,61,0,0,0,3,3,3
Canada,Ontario,Toronto,Central Canada,415600,44909.25,3041200,10.5,10.5,10.5,0.486314067,3,10,25,25,0,0,0,16,16,16,0,0,0,3,3,3
Canada,Quebec,Montreal,Central Canada,644000,39288,1873840,9.375,9.375,9.375,0.496334759,3,13.33333333,23.33333333,23.33333333,0,0,0,18,0,18,2,2,2,130,130,130
Canada,Quebec,Quebec City,Central Canada,644000,39288,147043,9.375,9.375,9.375,0.496334759,3,13.33333333,23.33333333,23.33333333,0,0,0,18,18,18,2,0,2,130,0,130
Canada,Saskatchewan,Saskatoon,Prairie Provinces,251700,52029.75,260767,8.49,8.49,8.49,0.339405821,18,23.33333333,28,28.33333333,19,19,19,0,0,0,0,0,0,0,0,0
