Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Political Subdivision - W/O MED,Average Outage - SAIDI - State - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Political Subdivision - W/O MED,Average Outage - SAIFI - State - W/O MED,Average Outage - SAIFI - Without MED
Canada,Alberta,Calgary,Prairie Provinces,255541,58439,1336000,0.045,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Alberta,Edmonton,Prairie Provinces,255541,60131.25,4371000,0.045,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,British Columbia,Vancouver,West Coast,364764,44299.5,610000,0.0975,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Manitoba,Winnipeg,Prairie Provinces,250116,40281,705244,0.6525,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,New Brunswick,Moncton,Atlantic Region,28150,35962.5,85198,0.075,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Newfoundland and Labrador,St. Johns,Atlantic Region,156453,47432.25,212501,0.09,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Nova Scotia,Halifax,Atlantic Region,21345,34669.5,434140,0.15,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Ontario,Ottawa,Central Canada,415600,44909.25,940179,0.105,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Ontario,Toronto,Central Canada,415600,44909.25,3041200,0.105,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Quebec,Montreal,Central Canada,644000,39288,1873840,0.0525,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Quebec,Quebec City,Central Canada,644000,39288,147043,0.0525,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Canada,Saskatchewan,Saskatoon,Prairie Provinces,251700,52029.75,260767,0.1125,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
United States,Alabama,Birmingham,East South Central,52419,22993,209880,0.11,23,1,188.284,n/a,137.167,n/a,n/a,162.7255,1.66,n/a,1.61,n/a,n/a,1.635
United States,Alaska,Anchorage,Pacific,663300,38977,291538,0.2,8,1,233.273,100,25.52,n/a,n/a,119.5976667,3.017,2.8,0.339,n/a,n/a,2.052
United States,Arizona,Mesa,Mountain,113998,27851,508958,0.1,12,1,146.609,44.657,21.69,38.845,n/a,62.95025,0.635,0.486,0.102,0.582,n/a,0.45125
United States,Arizona,Phoenix,Mountain,113998,27870,1660272,0.1,12,1,146.609,44.657,21.69,38.845,n/a,62.95025,0.635,0.486,0.102,0.582,n/a,0.45125
United States,Arizona,Tucson,Mountain,113998,22645,545975,0.1,12,1,146.609,46.55,21.69,38.845,n/a,63.4235,0.635,0.486,0.102,0.582,n/a,0.45125
United States,Arkansas,Little Rock,West South Central,53179,34546,197881,0.08,18,1,114.767,152.697,49.067,n/a,n/a,105.5103333,1.087,1.201,0.535,n/a,n/a,0.941
United States,California,Los Angeles,Pacific,163696,31563,3990456,0.15,31,1,6356.07,124.432,87.173,58.9,n/a,1656.64375,10.94,1.236,0.582,0.58,n/a,3.3345
United States,California,San Diego,Pacific,163696,37112,1425976,0.15,31,1,6356.07,124.432,87.173,58.9,n/a,1656.64375,10.94,1.236,0.582,0.58,n/a,3.3345
United States,California,San Francisco,Pacific,163696,59510,883305,0.15,31,1,6356.07,124.432,87.173,58.9,n/a,1656.64375,10.94,1.236,0.582,0.58,n/a,3.3345
United States,California,San Jose,Pacific,163696,40275,1030119,0.15,31,1,6356.07,124.432,87.173,58.9,n/a,1656.64375,10.94,1.236,0.582,0.58,n/a,3.3345
United States,Colorado,Aurora,Pacific,104185,28854,374114,0.09,23,1,95.766,76.724,32.03,n/a,n/a,68.17333333,1.025,0.926,0.466,n/a,n/a,0.805666667
United States,Colorado,Colorado Springs,Pacific,104185,32539,472688,0.09,23,1,95.766,76.724,32.03,n/a,n/a,68.17333333,1.025,0.926,0.466,n/a,n/a,0.805666667
