Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Federal Corporate Income Tax Rate,State Corporate Income Marginal Tax Rate,City Corporate Income Marginal Tax Rate,Corporate Income Effective Tax Rate,Federal Personal Income Tax Rate,State Personal Income Marginal Tax Rate,City Personal Income Marginal Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Base,Gross Receipts Tax Base Score,Gross Receipts Tax Rate,Gross Receipts Tax Rate Score,Commercial Property Effective Tax Rate
Canada,Alberta,Calgary,Prairie Provinces,255541,58439,1336000,0.09,0,0,0.09,0.26,0.1,0,0.36,0,0,0,0,0.15,0.1,0,0,0,0,n/a,n/a,0.022
Canada,Alberta,Edmonton,Prairie Provinces,255541,60131.25,4371000,0.09,0,0,0.09,0.205,0.1,0,0.305,0,0,0,0,0.15,0.1,0,0,0,0,n/a,n/a,0.0219
Canada,British Columbia,Vancouver,West Coast,364764,44299.5,610000,0.09,0.02,0,0.11,0.205,0.147,0,0.352,0.1681,0.02,0,0,0.168,0.0506,0,0,0,0,n/a,n/a,0.0093
Canada,Manitoba,Winnipeg,Prairie Provinces,250116,40281,705244,0.09,0,0,0.09,0.205,0.174,0,0.379,0.12,0,0,0,0.174,0.108,0,0,0,0,n/a,n/a,0.0242
Canada,New Brunswick,Moncton,Atlantic Region,28150,35962.5,85198,0.09,0.12,0,0.21,0.205,0.1482,0,0.3532,0.14,0.025,0,0,0.203,0.0968,0,0,0,0,n/a,n/a,n/a
Canada,Newfoundland and Labrador,St. Johns,Atlantic Region,156453,47432.25,212501,0.09,0.03,0,0.12,0.205,0.173,0,0.378,0.15,0.03,0,0,0.183,0.087,0,0,0,0,n/a,n/a,n/a
Canada,Nova Scotia,Halifax,Atlantic Region,21345,34669.5,434140,0.09,0.03,0,0.12,0.205,0.06,0,0.265,0.16,0.03,0,0,0.21,0.0879,0,0,0,0,n/a,n/a,0.0343
Canada,Ontario,Ottawa,Central Canada,415600,44909.25,940179,0.09,0.035,0,0.125,0.205,0,0,0.205,0.115,0.035,0,0,0.1316,0.0505,0,0,0,0,n/a,n/a,0.027
Canada,Ontario,Toronto,Central Canada,415600,44909.25,3041200,0.09,0.035,0,0.125,0.24,0.1116,0,0.3516,0.115,0.035,0,0,0.1316,0.0505,0,0,0,0,n/a,n/a,0.0228
Canada,Quebec,Montreal,Central Canada,644000,39288,1873840,0.09,0,0,0.09,0.205,0.2575,0,0.4625,0,0,0,0,0.2575,0.15,0,0,0,0,n/a,n/a,0.038
Canada,Quebec,Quebec City,Central Canada,644000,39288,147043,0.09,0,0,0.09,0.205,0.2575,0,0.4625,0,0,0,0,0.2575,0.15,0,0,0,0,n/a,n/a,0.0348
Canada,Saskatchewan,Saskatoon,Prairie Provinces,251700,52029.75,260767,0.09,0.02,0,0.11,0.26,0.145,0,0.405,0.12,0.02,0,0,0.145,0.105,0,0,0,0,n/a,n/a,0.0153
United States,Alabama,Birmingham,East South Central,52419,22993,209880,0.21,0.065,0,0.275,0.22,0.05,0.01,0.28,0.065,0.065,0,0,0.05,0.02,0.01,0.01,0,0,0,10,0.0033
United States,Alaska,Anchorage,Pacific,663300,38977,291538,0.21,0.07,0,0.28,0.22,0,0,0.22,0.094,0,0,0,0,0,0,0,0,0,0,10,0.0144
United States,Arizona,Mesa,Mountain,113998,27851,508958,0.21,0.049,0,0.259,0.22,0.0424,0,0.2624,0.049,0.049,0,0,0.0454,0.0259,0,0,0,0,0,10,0.0178
United States,Arizona,Phoenix,Mountain,113998,27870,1660272,0.21,0.049,0,0.259,0.22,0.0417,0,0.2617,0.049,0.049,0,0,0.045,0.0259,0,0,0,0,0,10,0.023
United States,Arizona,Tucson,Mountain,113998,22645,545975,0.21,0.049,0.026,0.285,0.22,0.0336,0,0.2536,0.049,0.049,0.026,0.026,0.0454,0.0259,0,0,0,0,0,10,0.0239
United States,Arkansas,Little Rock,West South Central,53179,34546,197881,0.21,0.065,0,0.275,0.22,0.069,0,0.289,0.065,0.01,0,0,0.069,0.009,0,0,0,0,0,10,0.065
