Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Time (in Years),Whether debtors can initiate both liquidation and reorganiza­tion proceedings,Whether creditors can initiate both liquidation and reorganization proceedings,What standard is used for commence­ment of insolvency proceedings,Commencement of Proceedings Index (0-3),Whether the debtor can continue performing contracts essential to the debtor’s survival,Whether the debtor can reject overly burdensome contracts,Whether transactions entered into before commencement of insolvency proceedings that give preference to one or several creditors can be avoided after proceedings are initi­ated,Whether undervalued transactions entered into before commencement of insolvency proceedings can be avoided after proceedings are initi­ated,Whether the insolvency framework includes specific provisions that allow the debtor to obtain financing necessary to function during the proceedings,Whether post-commencement finance receives priority over ordinary unse­cured creditors during distribution of assets,Management of Debtor's Assets Index (0-6),Whether the reorganization plan is voted on only by the creditors whose rights are modified or affected by the plan,"Whether creditors entitled to vote on the plan are divided into classes, each class votes separately and the creditors within each class are treated equally",Whether the insolvency framework requires that dissenting creditors receive as much under the reorganiza­tion plan as they would have received in liquidation,Reorganization Proceedings Index (0-3),"Whether creditors appoint the insol­vency representative or approve, ratify or reject the appointment of the insolvency representative",Whether creditors are required to approve the sale of substantial assets of the debtor in the course of insol­vency proceedings,Whether an individual creditor has the right to access financial information about the debtor during insolvency proceedings,Whether an individual creditor can object to a decision of the court or of the insolvency representative to approve or reject claims against the debtor brought by the creditor itself and by other creditors,Creditor Participation Index (0-4),Strength of Insolvency Framework Index (0-16)
Canada,Alberta,Calgary,Prairie Provinces,255541,58439,1336000,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Alberta,Edmonton,Prairie Provinces,255541,60131.25,4371000,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,British Columbia,Vancouver,West Coast,364764,44299.5,610000,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Manitoba,Winnipeg,Prairie Provinces,250116,40281,705244,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,New Brunswick,Moncton,Atlantic Region,28150,35962.5,85198,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Newfoundland and Labrador,St. Johns,Atlantic Region,156453,47432.25,212501,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Nova Scotia,Halifax,Atlantic Region,21345,34669.5,434140,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Ontario,Ottawa,Central Canada,415600,44909.25,940179,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Ontario,Toronto,Central Canada,415600,44909.25,3041200,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Quebec,Montreal,Central Canada,644000,39288,1873840,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Quebec,Quebec City,Central Canada,644000,39288,147043,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
Canada,Saskatchewan,Saskatoon,Prairie Provinces,251700,52029.75,260767,0.8,1,0.5,1,2.5,0,1,1,1,1,0.5,4.5,1,0,0,1,1,1,1,0,3,11
United States,Alabama,Birmingham,East South Central,52419,22993,209880,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Alaska,Anchorage,Pacific,663300,38977,291538,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Arizona,Mesa,Mountain,113998,27851,508958,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Arizona,Phoenix,Mountain,113998,27870,1660272,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Arizona,Tucson,Mountain,113998,22645,545975,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Arkansas,Little Rock,West South Central,53179,34546,197881,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,California,Los Angeles,Pacific,163696,31563,3990456,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,California,San Diego,Pacific,163696,37112,1425976,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,California,San Francisco,Pacific,163696,59510,883305,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,California,San Jose,Pacific,163696,40275,1030119,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Colorado,Aurora,Pacific,104185,28854,374114,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Colorado,Colorado Springs,Pacific,104185,32539,472688,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Colorado,Denver,Pacific,104185,38991,716492,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Connecticut,Bridgeport,New England,5543,22806,144900,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Delaware,Wilmington,South Atlantic,2489,30601,70635,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,District of Columbia,Washington D.C.,South Atlantic,68.34,50833,713244,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Florida,Jacksonville,South Atlantic,65755,27486,903889,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Florida,Miami,South Atlantic,65755,25067,470914,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Florida,Orlando,South Atlantic,65755,28117,285713,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
United States,Florida,Tampa,South Atlantic,65755,32869,392890,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,1,0,1,1,3,15
