Country,State,City,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Power Outage Duration,Power Outage Frequency,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,Gross Receipts Tax,Commercial Property Effective Tax Rate,Parking Minimum Size,Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning),Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Score,Activity
United States,Alabama,Birmingham,16169,52419,22993,209880,6.7955,9.4064,9.6733,5.6999,5.9173,10,4.7378,10,10,5.7774,8.6999,9.5248,4.2302,7.9907,10,10,1.4452,0,0,6.6667,10,2.5,74.08846446,12.98039458
United States,Alaska,Anchorage,7539,663300,38977,291538,6.7955,10,9.7947,6.9778,5.9173,10,4.7378,4.4028,10,0.8414,9.2103,9.3573,4.0743,9.5981,10,7.1026,1.8256,5,5,5,7.5907,2.5,72.89597221,38.67064597
United States,Arizona,Mesa,61975,113998,27851,508958,5.1933,7.8235,9.8883,3.3019,5.9173,10,4.7378,5.6945,10,6.3259,9.8806,10,4.7292,8.4622,10,6.2151,0.3955,7.5,7.5,3.3333,0,5,71.52893723,8.212311416
United States,Arizona,Phoenix,61975,113998,27870,1660272,5.1933,7.8235,9.8884,3.308,5.9173,10,4.7378,5.6945,10,6.3259,9.8806,10,4.7292,8.481,10,4.8578,1.4452,7.5,7.5,3.3333,0,5,71.42798253,26.78938282
United States,Arizona,Tuscon,12851,113998,22645,545975,5.1933,7.8235,9.8517,1.2462,5.9173,6.2924,4.7378,5.6945,10,6.3259,9.875,10,3.9183,8.698,10,4.6229,1.4452,7.5,7.5,3.3333,0,5,69.05638147,42.48502062
United States,Arkansas,Little Rock,11703,53179,34546,197881,6.7955,9.8021,10,6.2363,5.9173,10,10,10,10,7.4228,9.377,9.8034,4.2302,7.7496,10,0,1.4452,7.5,7.5,5,7.4907,2.5,77.5545241,16.90857045
United States,California,Los Angeles,275656,163696,31563,3990456,5.1933,9.2086,9.9175,3.5316,5.9173,6.2924,4.7378,2.5342,10,3.5836,0,8.8425,3.4973,7.1066,10,7.6769,1.0649,5,5,3.3333,3.2713,7.5,64.85413085,14.47621673
United States,California,San Diego,59883,163696,37112,1425976,5.1933,9.2086,9.9369,4.974,5.9173,6.2924,4.7378,2.5342,10,3.5836,0,8.8425,3.5004,7.1066,10,7.7813,2.2059,5,5,1.6667,7.6253,7.5,66.78188696,23.81270143
United States,California,San Francisco,90823,163696,59510,883305,5.1933,9.2086,9.9785,6.8069,5.9173,6.2924,4.7378,2.5342,10,3.5836,0,8.8425,3.5004,6.5708,4.7723,8.8515,10,5,5,3.3333,8.5191,10,70.36609079,9.72556511
United States,California,San Jose,34970,163696,40275,1030119,5.1933,9.2086,9.9456,4.3855,5.9173,6.2924,4.7378,2.5342,10,3.5836,0,8.8425,3.5004,7.1066,10,7.4942,0.6846,5,5,1.6667,7.4172,7.5,65.85463395,29.45722047
United States,Colorado,Aurora,57767,104185,28854,374114,6.7955,10,9.9337,3.6127,5.9173,10,4.7378,10,10,6.8743,9.8188,9.8577,4.8134,8.3577,10,9.2691,0.6846,5,5,5,7.0959,2.5,76.30398833,6.476258071
United States,Colorado,Colorado Springs,12342,104185,32539,472688,6.7955,10,9.9466,4.5901,5.9173,10,10,10,10,6.8743,9.8188,9.8577,4.8134,4.875,10,6.424,3.7272,7.5,7.5,5,7.4248,5,80.15973703,38.29914114
United States,Colorado,Denver,57767,104185,38991,716492,6.7955,10,9.9633,5.4042,5.9173,10,4.7378,10,10,6.8743,9.8188,9.8577,4.8134,8.3577,10,4.5968,0.6846,5,5,5,7.8509,10,78.23389704,12.40313674
United States,Connecticut,Bridgeport,19106,5543,22806,144900,6.7955,9.4064,9.8027,2.2338,5.9173,10,10,5.6945,10,3.0352,9.5788,9.8479,3.9183,8.2586,10,0.9163,1.3387,5,5,3.3333,6.199,5,71.30679392,7.584005025
United States,Delaware,Wilmington,99793,2489,30601,70635,6.7955,9.2086,9.8758,5.9704,5.9173,10,10,0,10,6.8743,9.8606,9.7446,3.5441,7.4281,2.8655,8.6166,0.6846,5,5,5,2.21,5,70.70659989,0.707815177
United States,District of Columbia,Washington D.C.,99621,68.34,50833,713244,6.7955,9.4064,9.8731,6.528,5.9173,6.2924,2.9837,4.7903,5.8505,5.229,10,9.9652,3.6844,4.508,10,7.4159,4.8834,10,10,5,5.552,2.5,69.84199651,7.159574788
United States,Florida,Jacksonville,25232,65755,27486,903889,6.7955,9.2086,9.8384,5.856,5.9173,10,4.7378,10,10,6.3259,9.2421,9.5804,4.5421,9.5981,10,6.1629,1.6963,5,5,3.3333,5.4533,7.5,76.4895009,35.82312143
United States,Florida,Miami,152501,65755,25067,470914,6.7955,9.2086,9.8182,5.2396,5.9173,10,4.7378,10,10,6.3259,9.3197,9.5804,4.5421,9.5981,10,5.6931,2.358,5,5,3.3333,5.0145,7.5,76.20167435,3.087940407
United States,Florida,Orlando,44328,65755,28117,285713,6.7955,9.2086,9.8431,5.9993,5.9173,10,4.7378,10,10,6.3259,9.2421,9.5804,4.5421,9.5981,10,8.225,1.0649,7.5,7.5,3.3333,5.5553,5,77.98265604,6.445429525
United States,Florida,Tampa,54659,65755,32869,392890,6.7955,9.2086,9.8727,6.9021,5.9173,10,10,10,10,6.3259,9.2421,9.5804,4.5421,9.5981,10,8.1989,1.0649,2.5,2.5,3.3333,6.1979,5,76.84372523,7.188020271
United States,Georgia,Atlanta,95570,59425,40595,498044,6.7955,9.8021,9.8453,9.6108,5.9173,10,4.7378,10,10,7.4228,8.9879,9.3858,4.4641,7.9907,10,6.3195,0.6846,5,5,5,9.0035,5,78.33943824,5.211300617
