,city,state,area
0,Calgary,Alberta,255541.00
1,Edmonton,Alberta,255541.00
2,Vancouver,British Columbia,364764.00
3,Winnipeg,Manitoba,250116.00
4,Moncton,New Brunswick,28150.00
5,St. Johns,Newfoundland and Labrador,156453.00
6,Halifax,Nova Scotia,21345.00
7,Ottawa,Ontario,415600.00
8,Toronto,Ontario,415600.00
9,Montreal,Quebec,644000.00
10,Quebec City,Quebec,644000.00
11,Saskatoon,Saskatchewan,251700.00
12,Birmingham,Alabama,52419.00
13,Anchorage,Alaska,663300.00
14,Mesa,Arizona,113998.00
15,Phoenix,Arizona,113998.00
16,Tuscon,Arizona,113998.00
17,Little Rock,Arkansas,53179.00
18,Los Angeles,California,163696.00
19,San Diego,California,163696.00
20,San Francisco,California,163696.00
21,San Jose,California,163696.00
22,Aurora,Colorado,104185.00
23,Colorado Springs,Colorado,104185.00
24,Denver,Colorado,104185.00
25,Bridgeport,Connecticut,5543.00
26,Wilmington,Delaware,2489.00
27,Washington D.C.,District of Columbia,68.34
28,Jacksonville,Florida,65755.00
29,Miami,Florida,65755.00
30,Orlando,Florida,65755.00
31,Tampa,Florida,65755.00
32,Atlanta,Georgia,59425.00
33,Honolulu,Hawaii,10931.00
34,Boise,Idaho,83642.00
35,Chicago,Illinois,57915.00
36,Indianapolis,Indiana,36418.00
37,Des Moines,Iowa,56272.00
38,Wichita,Kansas,82277.00
39,Lexington-Fayette County,Kentucky,40409.00
40,Louisville,Kentucky,40409.00
41,New Orleans,Louisiana,52378.00
42,Portland,Maine,35385.00
43,Baltimore,Maryland,12407.00
44,Boston,Massachusetts,10565.00
45,Detroit,Michigan,96716.00
46,Grand Rapids,Michigan,96716.00
47,Minneapolis,Minnesota,86943.00
48,St. Paul,Minnesota,86943.00
49,Jackson,Mississippi,48430.00
50,Kansas City,Missouri,69704.00
51,St. Louis,Missouri,69704.00
52,Billings,Montana,147040.00
53,Lincoln,Nebraska,77421.00
54,Omaha,Nebraska,77421.00
55,Henderson,Nevada,110567.00
56,Las Vegas,Nevada,110567.00
57,Manchester,New Hampshire,9350.00
58,Newark,New Jersey,8729.00
59,Albuquerque,New Mexico,121697.00
60,Buffalo,New York,54556.00
61,New York City,New York,54556.00
62,Rochester,New York,54556.00
63,Charlotte,North Carolina,53819.00
64,Greensboro,North Carolina,53819.00
65,Raleigh,North Carolina,53819.00
66,Fargo,North Dakota,70762.00
67,Cincinnati,Ohio,44825.00
68,Cleveland,Ohio,44825.00
69,Columbus,Ohio,44825.00
70,Oklahoma City,Oklahoma,69899.00
71,Tulsa,Oklahoma,69899.00
72,Portland,Oregon,98466.00
73,Philadelphia,Pennsylvania,46055.00
74,Pittsburgh,Pennsylvania,46055.00
75,Providence,Rhode Island,1212.00
76,Charleston,South Carolina,32020.00
77,Sioux Falls,South Dakota,77184.00
78,Memphis,Tennessee,42180.00
79,Nashville,Tennessee,42180.00
80,Austin,Texas,268597.00
81,Dallas,Texas,268597.00
82,Houston,Texas,268597.00
83,San Antonio,Texas,268597.00
84,Salt Lake City,Utah,84899.00
85,Burlington,Vermont,9623.00
86,Arlington,Virginia,42775.00
87,Virginia Beach,Virginia,42775.00
88,Seattle,Washington,71362.00
89,Charleston,West Virginia,24038.00
90,Milwaukee,Wisconsin,65498.00
91,Cheyenne,Wyoming,97818.00
92,Aguascalientes,Aguascalientes,148.60
93,Tijuana,Baja California,27587.00
94,La Paz,Baja California Sur,29218.00
95,Campeche,Campeche,22365.00
96,Tuxtla Gutiérrez,Chiapas,28306.00
97,Chihuahua,Chihuahua,95545.00
98,Juárez,Chihuahua,95545.00
99,Saltillo,Coahuila,58531.00
100,Piedras Negras,Coahuila,58531.00
101,Colima,Colima,2172.00
102,Durango,Durango,48410.00
103,León,Guanajuato,11817.00
104,Acapulco,Guerrero,24819.00
105,Hermosillo,Sonora,69249.00
106,Pachuca,Hidalgo,8036.00
107,Guadalajara,Jalisco,30343.00
108,Ecatepec,México,8687.00
109,Naucalpan,México,8687.00
110,Nezahualcóyotl,México,8687.00
111,Toluca,México,8687.00
112,Mexico City,Mexico City,573.00
113,Morelia,Michoacán,22625.00
114,Cuernavaca,Morelos,1911.00
115,Tepic,Nayarit,10756.00
116,San Pedro,Nuevo León,24771.00
117,Monterrey,Nuevo León,24771.00
118,Oaxaca,Oaxaca,36275.00
119,Puebla,Puebla,13224.00
120,Querétaro,Querétaro,4517.00
121,Cancún,Quintana Roo,42030.00
122,San Luis Potosí,San Luis Potosí,23605.00
123,Culiacán,Sinaloa,22471.00
124,Villahermosa,Tabasco,9756.00
125,Reynosa,Tamaulipas,29106.00
126,Apizaco,Tlaxcala,1551.00
127,Boca del Rio,Veracruz,27683.00
128,Mérida,Yucatán,16749.00
129,Zacatecas,Zacatecas,137.50
